NIN ID,Facility Name,FACILITY_TYPE,State,District,Taluka,Block,Entry Month,Individuals empanelled,Community Based Assessment Checklist filled,HTN Individuals screened Male,HTN Individuals screened Female,HTN Individuals screened Other,HTN Newly diagnosed Male,HTN Newly diagnosed Female,HTN Newly diagnosed Other,HTN On treatment Male,HTN On treatment Female,HTN On treatment Other,DM Individuals screened Male,DM Individuals screened Female,DM Individuals screened Other,DM Newly diagnosed Male,DM Newly diagnosed Female,DM Newly diagnosed Other,DM On treatment Male,DM On treatment Female,DM On treatment Other,OC Individuals screened Male,OC Individuals screened Female,OC Individuals screened Other,OC Newly diagnosed Male,OC Newly diagnosed Female,OC Newly diagnosed Other,OC On treatment male,OC On treatment Female,OC On treatment Other,BC Individuals screened female,BC Newly diagnosed female,BC On treatment female,CC Individuals screened female,CC Newly diagnosed female,CC On treatment female,Individuals referred for screening male,Individuals referred for screening female,Individuals referred for screening other,Newly diagnosed Male,Newly diagnosed Female,Newly diagnosed Other,On treatment Male,On treatment Female,On treatment Other,Total Patients received antihypertensive medicines at this centre,Total Patients received ant-diabetic medicines at this centre,Medicines_TPR_AO_M,Total TB patients received DOTS from the centre,Medicines_CSOM_EOM,Availability of functional BP apparatus,Availability of functional glucometer,Closing stock of glucostrips,Performance/team based incentives for MO/SN/CHO,Team based incentives for ASHA/MPW,JAS monthly meeting conducted,Data Source,Entry Date,Entry Update Date,Facility Type
6645258481,HSC RAGHUNATHPUR,SHC,Jharkhand,Godda,POREYAHAT,POREYAHAT,31-05-24,375,85,45,39,0,3,3,0,3,1,0,45,30,0,3,1,0,3,1,0,45,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,Yes,Yes,20,No,Yes,No,Android APP,24-06-24 12:04,N/A,N/A
3286128875,HSC BHANDARIDIH,SHC,Jharkhand,Bokaro,BERMO,BERMO,31-05-24,38,38,2,1,0,0,0,0,10,11,0,2,1,0,0,0,0,8,9,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8,4,0,0,0,0,4,2,0,21,17,0,0,0,Yes,Yes,200,No,No,Yes,Android APP,24-06-24 11:02,N/A,N/A
4168524488,HSC PAHARKONA,SHC,Jharkhand,Simdega,KURDEG,KURDEG,31-05-24,32,32,20,12,0,0,1,0,0,1,0,20,12,0,1,0,0,1,0,0,20,12,0,0,0,0,0,0,0,12,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,Yes,Yes,20,No,No,No,Android APP,24-06-24 9:34,N/A,N/A
8385188555,HSC BHAWANIPUR,SHC,Jharkhand,Pakaur,PAKAUR,PAKUR,31-05-24,418,127,70,57,0,4,3,0,10,5,0,70,57,0,5,4,0,8,7,0,70,57,0,0,0,0,0,0,0,0,0,0,0,0,0,47,45,0,0,1,0,6,5,0,15,15,0,11,0,Yes,Yes,25,Yes,No,Yes,Android APP,24-06-24 7:54,N/A,N/A
4457432344,HSC MOLADIH,SHC,Jharkhand,Sarikela-Kharswana,KHARSAWAN,KHARSAWAN,31-05-24,95,35,37,58,0,0,2,0,16,27,0,37,58,0,0,0,0,15,11,0,37,58,0,0,0,0,0,0,0,58,0,0,58,0,0,7,6,0,0,0,0,4,2,0,23,5,N/A,0,N/A,Yes,Yes,223,No,No,Yes,WEB Portal,23-06-24 11:20,N/A,N/A
7144443574,HSC MADMO,SHC,Jharkhand,Hazaribagh,BISHUNGARH,BISHUNGARH,31-05-24,166,166,63,103,0,1,0,0,8,9,0,63,103,0,1,2,0,8,7,0,59,0,0,0,0,0,0,0,0,78,0,0,0,0,0,6,8,0,0,0,0,0,0,0,7,5,0,0,0,Yes,Yes,34,No,No,Yes,Android APP,22-06-24 21:57,22-06-24 21:59,N/A
4175847427,HSC TATISILWAI,SHC,Jharkhand,Ranchi,NAMKUM,NAMKUM,31-05-24,8,10,61,39,0,9,5,0,9,5,0,61,39,0,6,3,0,6,3,0,61,39,0,0,0,0,0,0,0,39,0,0,39,0,0,5,7,0,2,0,0,2,0,0,14,9,N/A,2,N/A,Yes,Yes,30,No,No,Yes,WEB Portal,22-06-24 20:48,N/A,N/A
6224373784,HSC NARAYANGARH,SHC,Jharkhand,Pakaur,MAHESHPUR,MAHESHPUR,31-05-24,386,150,18,18,0,2,3,0,3,2,0,18,18,0,3,2,0,3,2,0,18,18,0,0,0,0,0,0,0,12,0,0,12,0,0,5,4,0,0,0,0,0,1,0,2,2,0,0,0,Yes,Yes,20,No,No,No,Android APP,22-06-24 20:45,N/A,N/A
5387685810,HSC BANKA,SHC,Jharkhand,Godda,GODDA,GODDA SADAR,31-05-24,237,124,52,20,0,3,2,0,3,2,0,42,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,5,0,0,0,0,Yes,Yes,80,No,No,No,Android APP,22-06-24 17:02,N/A,N/A
1276446877,HSC MOHANI,SHC,Jharkhand,Godda,MAHAGAMA,MAHGAMA,31-05-24,122,122,57,65,0,7,6,0,1,4,0,57,65,0,4,3,0,0,3,0,57,65,0,0,0,0,0,0,0,65,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,3,0,0,0,Yes,Yes,208,No,No,No,Android APP,22-06-24 13:06,N/A,N/A
5447832816,HSC MAHUWAJARI,SHC,Jharkhand,Ranchi,MANDAR,MANDAR,31-05-24,0,60,16,44,0,3,9,0,0,0,0,16,44,0,2,6,0,0,0,0,16,44,0,0,0,0,0,0,0,44,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,60,No,No,No,Android APP,22-06-24 12:05,24-06-24 14:27,N/A
