SN,NIN,Facility_Name,Facility_Type,State,District,Taluka,Block,Activity Name/Health Day Name ,Activity_Date,Event_name,Year
33,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,monthly meeting at chc ranga,(1st March 2024),"Other
",2024
34,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,ncd screening of old age group,(4th March 2024),"Other
",2024
35,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,home visit of tb patient,(6th March 2024),"Other
",2024
36,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,"iucd training at chc barhwa ,sahebganj",(11th March 2024),"Other
",2024
37,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,iucd training at chc barhwa,(12th March 2024),"Other
",2024
38,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,iucd training ,(13th March 2024),"Other
",2024
39,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,iucd training at chc barhwa,(14th March 2024),"Other
",2024
40,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,iucd training ,(15th March 2024),"Other
",2024
41,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,world oral day,(20th March 2024),"Other
",2024
42,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,family planning program,(21st March 2024),"Other
",2024
43,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,tele culsontant traning for sahiya didi,(22nd March 2024),"Other
",2024
44,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,hmis training at chc ,(18th March 2024),"Other
",2024
45,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,monthly meeting at aam lakhipur,(30th March 2024),"Other
",2024
73,1111666671,Parsatand,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,oral health screening ,(20th March 2024),"Other
",2024
74,1111666671,Parsatand,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,VHND,(21st March 2024),"Other
",2024
106,1111676811,Nagri,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,screening ,(15th March 2024),Community meeting,2024
107,1111676811,Nagri,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,oral screening ,(21st March 2024),Special screening talk,2024
