SN,NIN,Facility_Name,Facility_Type,State,District,Taluka,Block,Activity Name/Health Day Name ,Activity_Date,Event_name,Year
53,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,adolescent health day,(6th May 2024),"Other
",2024
54,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,monthly meeting at chc,(3rd May 2024),"Other
",2024
55,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,anc day ,(9th May 2024),"Other
",2024
56,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,celebrating world hand hygiene day,(10th May 2024),"Other
",2024
57,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,organised yoga session ,(11th May 2024),Yoga,2024
58,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,integrated disease survey supervision at my aam lakhipur area,(13th May 2024),"Other
",2024
59,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,sickle cell anemia screening at Gangiya Damin Bishunpur PATHNA ,(17th May 2024),"Other
",2024
60,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,dengu day,(16th May 2024),"Other
",2024
61,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,block level routine immunization strengthening work shop,(14th May 2024),"Other
",2024
62,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,sickle cell anemia screening ,(20th May 2024),"Other
",2024
63,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,family welfare day,(21st May 2024),"Other
",2024
64,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,monthly meeting at pathna block with BDO sir regarding election duty,(22nd May 2024),"Other
",2024
65,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,Menstrual Hygiene Day(28th May 2024),(28th May 2024),"Other
",2024
66,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,World No Tobacco Day(31st May 2024),(31st May 2024),"Other
",2024
73,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,health talk ,(13th May 2024),Health talk,2024
74,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,world HTN day ,(17th May 2024),Special screening talk,2024
75,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,ncd screening ,(18th May 2024),"Other
",2024
76,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,aam meeting ,(20th May 2024),"Other
",2024
77,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,,(22nd May 2024),Yoga,2024
78,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,yoga,(23rd May 2024),Yoga,2024
79,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,ncd screening ,(24th May 2024),"Other
",2024
80,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,yoga,(25th May 2024),Yoga,2024
81,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,vhnd,(27th May 2024),"Other
",2024
82,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,Menstrual Hygiene Day(28th May 2024),(28th May 2024),"Other
",2024
85,1111652788,Agdonikhurd,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Health talk,2024
