District,SHC-Target,AYUSH-Target,PHC-Target,UPHC-Target,UHWCs-Target,Target
Bokaro,116,17,9,9,32,183
Chatra,93,17,7,1,2,120
Deogarh,181,3,2,5,9,200
Dhanbad,141,3,18,10,43,215
Dumka,258,12,33,1,4,308
Garhwa,132,17,12,1,5,167
Giridih,181,3,13,2,7,206
Godda,185,4,8,1,3,201
Gumla,242,11,12,1,4,270
Hazaribagh,146,0,14,3,10,173
Jamtara,132,18,15,0,3,168
Khunti,108,4,3,1,2,118
Koderma,65,17,3,2,6,93
Latehar,97,17,8,0,2,124
Lohardaga,73,5,9,1,2,90
Pakaur,121,17,9,1,5,153
Palamu,171,2,18,5,9,205
Pashchimi Singhbhum,342,22,13,2,7,386
Purbi Singhbhum,244,17,6,9,40,316
Ramgarh,54,0,1,3,14,72
Ranchi,365,16,19,12,38,450
Sahibganj,155,10,8,2,7,182
Sarikela-Kharswana,194,20,7,4,9,234
Simdega,162,16,6,1,3,188
